sp_id	stcotrbg	hh_race	hh_income	latitude	longitude
11043999	420659501001	1	78800	41.2511885	-78.7863192
11044000	420659501001	1	19050	41.2496779	-78.7865196
11044001	420659501001	1	97000	41.2497251	-78.7873573
11044002	420659501001	1	29500	41.2500279	-78.7867284
11044003	420659501001	1	113900	41.2504078	-78.7868130
11044004	420659501001	1	29000	41.2495785	-78.7867142
11044005	420659501001	1	200000	41.2503760	-78.7865582
11044006	420659501001	1	30000	41.2482100	-78.7908425
11044007	420659501001	1	53000	41.2519423	-78.7992279
11044008	420659501001	1	23000	41.2508417	-78.7981620
11044009	420659501001	1	14400	41.2507292	-78.7870231
11044010	420659501001	1	25000	41.2510007	-78.7865773
11044011	420659501001	1	53200	41.2507909	-78.7862576
11044012	420659501001	1	88000	41.2503544	-78.7979689
11044013	420659501001	1	59200	41.2513455	-78.7872422
11044014	420659501001	1	25200	41.2505570	-78.7865438
11044015	420659501001	1	22700	41.2519648	-78.7981790
11044016	420659501001	1	16100	41.2503372	-78.7983320
11044017	420659501001	1	52000	41.2509854	-78.7979014
11044018	420659501001	1	9300	41.2504910	-78.7981022
11044019	420659501001	1	43900	41.2510967	-78.7983998
11044020	420659501001	1	8400	41.2510026	-78.7978172
11044021	420659501001	1	83000	41.2502359	-78.7983756
11044022	420659501001	1	80000	41.2480726	-78.7908634
11044023	420659501001	1	115000	41.2509782	-78.7859159
11044024	420659501001	1	26400	41.2519421	-78.7990386
11044025	420659501001	1	30300	41.2517999	-78.7983233
11044026	420659501001	1	16020	41.2519292	-78.7987916
11044027	420659501001	1	89100	41.2505129	-78.7856467
11044028	420659501001	1	8600	41.2515135	-78.7992790
11044029	420659501001	1	10800	41.2510671	-78.7851779
11044030	420659501001	1	14600	41.2478476	-78.7914915
11044031	420659501001	1	0	41.2511392	-78.7861302
11044032	420659501001	1	50000	41.2508920	-78.7861485
11044033	420659501001	1	32000	41.2505757	-78.7854081
11044034	420659501001	1	31500	41.2480754	-78.7909629
11044035	420659501001	1	30000	41.2481026	-78.7909631
11044036	420659501001	1	56780	41.2482161	-78.7909856
11044037	420659501001	1	17300	41.2521267	-78.7943076
11044038	420659501001	1	16100	41.2487960	-78.7879946
11044039	420659501001	1	20640	41.2493914	-78.7878795
11044040	420659501001	1	119000	41.2480350	-78.7919595
11044041	420659501001	1	7200	41.2488482	-78.7885702
11044042	420659501001	1	28000	41.2515049	-78.7935053
11044043	420659501001	1	93000	41.2501747	-78.7943792
11044044	420659501001	1	73000	41.2503319	-78.7947046
11044045	420659501001	1	58100	41.2497480	-78.7949670
11044046	420659501001	1	104000	41.2484636	-78.7927182
11044047	420659501001	1	6400	41.2507004	-78.7844733
11044048	420659501001	1	17400	41.2520338	-78.7938486
11044049	420659501001	1	15000	41.2518697	-78.7944404
11044050	420659501001	1	16900	41.2502954	-78.7841903
11044051	420659501001	1	10100	41.2515526	-78.7942523
11044052	420659501001	1	55600	41.2522047	-78.7936137
11044053	420659501001	1	80500	41.2493477	-78.7948903
11044054	420659501001	1	51000	41.2489744	-78.7942545
11044055	420659501001	1	113400	41.2506176	-78.7844969
11044056	420659501001	1	43000	41.2505705	-78.7845475
11044057	420659501001	1	27400	41.2489821	-78.7942403
11044058	420659501001	1	72600	41.2493336	-78.7940293
11044059	420659501001	1	170000	41.2491831	-78.7945554
11044060	420659501001	1	17600	41.2514525	-78.7868841
11044061	420659501001	1	32800	41.2517999	-78.7873564
11044062	420659501001	1	113900	41.2516438	-78.7873182
11044063	420659501001	1	96020	41.2516259	-78.7880149
11044064	420659501001	1	80800	41.2494243	-78.7885726
11044065	420659501001	1	15000	41.2520262	-78.7874480
11044066	420659501001	1	69400	41.2508374	-78.7874587
11044067	420659501001	1	9200	41.2511087	-78.7941554
11044068	420659501001	1	8500	41.2507377	-78.7941191
11044069	420659501001	1	12000	41.2509820	-78.7941280
11044070	420659501001	1	53500	41.2522684	-78.7873980
11044071	420659501001	1	56900	41.2505809	-78.7937237
11044072	420659501001	1	16000	41.2513426	-78.7943011
11044073	420659501001	1	13860	41.2519615	-78.7871429
11044074	420659501001	1	16300	41.2509568	-78.7884706
11044075	420659501001	1	35000	41.2490292	-78.7955851
11044076	420659501001	1	21120	41.2509076	-78.7878897
11044077	420659501001	1	1200	41.2498446	-78.8010695
11044078	420659501001	1	15000	41.2506446	-78.7880816
11044079	420659501001	1	25600	41.2516995	-78.7969365
11044080	420659501001	1	17400	41.2498847	-78.8005141
11044081	420659501001	1	63100	41.2492379	-78.7961395
11044082	420659501001	1	18000	41.2489636	-78.7855052
11044083	420659501001	1	18540	41.2491321	-78.7979636
11044084	420659501001	1	78500	41.2498862	-78.8007443
11044085	420659501001	1	55000	41.2498128	-78.8009830
11044086	420659501001	1	54300	41.2486945	-78.7855392
11044087	420659501001	1	13500	41.2534229	-78.7936267
11044088	420659501001	1	91000	41.2492614	-78.7856409
11044089	420659501001	1	38900	41.2518739	-78.8014559
11044090	420659501001	1	100240	41.2534885	-78.7943675
11044091	420659501001	1	61000	41.2488824	-78.7858807
11044092	420659501001	1	24200	41.2534979	-78.7948297
11044093	420659501001	1	16650	41.2517331	-78.8011183
11044094	420659501001	1	26000	41.2517438	-78.8018546
11044095	420659501001	1	69500	41.2520818	-78.8011482
11044096	420659501001	1	29900	41.2514047	-78.7961789
11044097	420659501001	1	99020	41.2481393	-78.7819829
11044098	420659501001	1	25000	41.2539725	-78.8009980
11044099	420659501001	1	23000	41.2457575	-78.7792311
11044100	420659501001	1	152800	41.2491778	-78.7953107
11044101	420659501001	1	175200	41.2496460	-78.7955530
11044102	420659501001	1	30600	41.2541544	-78.8010883
11044103	420659501001	1	105320	41.2457466	-78.7794312
11044104	420659501001	1	94300	41.2537729	-78.8008381
11044105	420659501001	1	20640	41.2488096	-78.7817631
11044106	420659501001	1	794300	41.2501262	-78.7987425
11044107	420659501001	1	71700	41.2499652	-78.7995361
11044108	420659501001	1	58000	41.2498754	-78.7996587
11044109	420659501001	1	132000	41.2463186	-78.7833493
11044110	420659501001	1	22400	41.2468982	-78.7829050
11044111	420659501001	1	10000	41.2467887	-78.7830407
11044112	420659501001	1	18640	41.2475329	-78.7827291
11044113	420659501001	1	56500	41.2495817	-78.7875005
11044114	420659501001	1	30000	41.2462999	-78.7810181
11044115	420659501001	1	7200	41.2484269	-78.7816940
11044116	420659501001	1	17000	41.2465554	-78.7809460
11044117	420659501001	1	16800	41.2551144	-78.8018510
11044118	420659501001	1	292000	41.2463206	-78.7804825
11044119	420659501001	1	28300	41.2551101	-78.8021319
11044120	420659501001	1	35100	41.2473377	-78.7830951
11044121	420659501001	1	6000	41.2475639	-78.7812047
11044122	420659501001	1	25700	41.2490356	-78.7870224
11044123	420659501001	1	21000	41.2490053	-78.7876421
11044124	420659501001	1	50000	41.2474766	-78.7831727
11044125	420659501001	1	131000	41.2472134	-78.7821855
11044126	420659501001	1	28400	41.2472728	-78.7818821
11044127	420659501001	1	18000	41.2485422	-78.7933934
11044128	420659501001	1	20400	41.2528341	-78.7948898
11044129	420659501001	1	52665	41.2503794	-78.7932536
11044130	420659501001	1	137000	41.2528767	-78.7932583
11044131	420659501001	1	74000	41.2512078	-78.8004500
11044132	420659501001	1	11700	41.2491483	-78.7843857
11044133	420659501001	1	107000	41.2489476	-78.7851293
11044134	420659501001	1	161500	41.2505419	-78.8008663
11044135	420659501001	1	21600	41.2523903	-78.7935685
11044136	420659501001	1	13900	41.2465864	-78.7836500
11044137	420659501001	1	13100	41.2491164	-78.7896044
11044138	420659501001	1	20	41.2497578	-78.7897993
11044139	420659501001	1	2200	41.2513942	-78.8015687
11044140	420659501001	1	83000	41.2468305	-78.7840103
11044141	420659501001	1	17000	41.2506269	-78.8014237
11044142	420659501001	1	9600	41.2499281	-78.7930466
11044143	420659501001	1	16020	41.2500282	-78.7908766
11044144	420659501001	1	5600	41.2460268	-78.7814233
11044145	420659501001	1	3500	41.2482607	-78.7902864
11044146	420659501001	1	26000	41.2489076	-78.7896653
11044147	420659501001	1	17300	41.2473750	-78.7882468
11044148	420659501001	1	67000	41.2501544	-78.7904239
11044149	420659501001	1	7800	41.2508680	-78.7901265
11044150	420659501001	1	7000	41.2473815	-78.7883307
11044151	420659501001	1	110900	41.2487017	-78.7821379
11044152	420659501001	1	15000	41.2493544	-78.7903499
11044153	420659501001	1	17300	41.2485369	-78.7828530
11044154	420659501001	1	31200	41.2475552	-78.7891687
11044155	420659501001	1	124000	41.2520237	-78.7913496
11044156	420659501001	1	16200	41.2521274	-78.7911873
11044157	420659501001	1	45100	41.2526521	-78.7924728
11044158	420659501001	1	86000	41.2516139	-78.7921615
11044159	420659501001	1	133000	41.2522912	-78.8020052
11044160	420659501001	1	104900	41.2509412	-78.7958807
11044161	420659501001	1	35000	41.2528566	-78.7957940
11044162	420659501001	1	15500	41.2512763	-78.7947120
11044163	420659501001	1	1100	41.2532765	-78.7961480
11044164	420659501001	1	20000	41.2516500	-78.7930125
11044165	420659501001	1	43600	41.2521935	-78.7886348
11044166	420659501001	1	58700	41.2517215	-78.8021707
11044167	420659501001	1	39000	41.2524834	-78.7889489
11044168	420659501001	1	103300	41.2525815	-78.7922660
11044169	420659501001	1	24800	41.2483597	-78.7886768
11044170	420659501001	1	88000	41.2500777	-78.7913908
11044171	420659501001	1	18800	41.2487465	-78.7910109
11044172	420659501001	1	32800	41.2496958	-78.7914581
11044173	420659501001	1	58500	41.2485238	-78.7911090
11044174	420659501001	1	119000	41.2481811	-78.7837002
11044175	420659501001	1	23000	41.2524746	-78.7953469
11044176	420659501001	1	20900	41.2487510	-78.7888203
11044177	420659501001	1	8800	41.2516441	-78.7955515
11044178	420659501001	1	28000	41.2475180	-78.7836919
11044179	420659501001	1	24000	41.2493667	-78.7821204
11044180	420659501001	1	73800	41.2496459	-78.7822063
11044181	420659501001	1	12460	41.2482939	-78.7938385
11044182	420659501001	1	57600	41.2504184	-78.8050946
11044183	420659501001	1	110000	41.2470902	-78.7867614
11044184	420659501001	1	18100	41.2505548	-78.7921331
11044185	420659501001	1	20300	41.2525419	-78.7906092
11044186	420659501001	1	96400	41.2533425	-78.7952338
11044187	420659501001	1	13600	41.2477423	-78.7897671
11044188	420659501001	1	50000	41.2487877	-78.7839808
11044189	420659501001	1	7780	41.2520913	-78.7907245
11044190	420659501001	1	20000	41.2483662	-78.7833901
11044191	420659501001	1	12100	41.2514702	-78.7976241
11044192	420659501001	1	30000	41.2495760	-78.7980431
11044193	420659501001	1	121920	41.2466827	-78.7815876
11044194	420659501001	1	62150	41.2475367	-78.7847779
11044195	420659501001	1	27500	41.2466472	-78.7854294
11044196	420659501001	1	38400	41.2521712	-78.7977542
11044197	420659501001	1	68000	41.2482361	-78.7856347
11044198	420659501001	1	48200	41.2560035	-78.8011934
11044199	420659501001	1	35400	41.2557313	-78.8007229
11044200	420659501001	1	27000	41.2517942	-78.7958905
11044201	420659501001	1	13500	41.2502324	-78.7951792
11044202	420659501001	1	17000	41.2511625	-78.7922858
11044203	420659501001	1	102000	41.2508548	-78.7990536
11044204	420659501001	1	8400	41.2579834	-78.8035245
11044205	420659501001	1	56000	41.2527260	-78.7969812
11044206	420659501001	1	16500	41.2523459	-78.8002821
11044207	420659501001	1	107020	41.2591224	-78.8049069
11044208	420659501001	1	73900	41.2518804	-78.7994292
11044209	420659501001	1	70000	41.2564911	-78.8029705
11044210	420659501001	1	16200	41.2518181	-78.7912183
11044211	420659501001	1	36100	41.2548882	-78.8001222
11044212	420659501001	1	8400	41.2566903	-78.8018539
11044213	420659501001	1	114000	41.2481650	-78.7937181
11044214	420659501001	1	22000	41.2560582	-78.8025472
11044215	420659501001	1	75000	41.2498917	-78.8033563
11044216	420659501001	1	35000	41.2511695	-78.8026702
11044217	420659501001	1	20400	41.2505178	-78.8034562
11044218	420659501001	1	29020	41.2531030	-78.7991280
11044219	420659501001	1	10600	41.2466934	-78.7795281
11044220	420659501001	1	26500	41.2504009	-78.7967303
11044221	420659501001	1	18300	41.2542342	-78.7988839
11044222	420659501001	1	11700	41.2490722	-78.7831464
11044223	420659501001	1	85400	41.2585274	-78.8038122
11044224	420659501001	1	61900	41.2506188	-78.8025012
11044225	420659501001	1	8900	41.2527089	-78.7980557
11044226	420659501001	1	33200	41.2477619	-78.7803249
11044227	420659501001	1	50000	41.2492822	-78.7813445
11044228	420659501001	1	48000	41.2486634	-78.7804966
11044229	420659501001	1	28000	41.2484823	-78.7934918
11044230	420659501001	1	37730	41.2512147	-78.8032777
11044231	420659501001	1	10000	41.2519079	-78.8040805
11044232	420659501001	1	14800	41.2473935	-78.7805859
11044233	420659501001	1	23900	41.2519347	-78.8051400
11044234	420659501001	1	20000	41.2532547	-78.7921893
11044235	420659501001	1	16000	41.2528802	-78.7897999
11044236	420659501001	1	20700	41.2525498	-78.7881115
11044237	420659501001	1	47600	41.2486315	-78.7939593
11044238	420659501001	1	29600	41.2481865	-78.7934975
11044239	420659501001	1	65200	41.2483296	-78.7932329
11044240	420659501001	1	13000	41.2483675	-78.7933499
11044241	420659501001	1	18000	41.2482174	-78.7938139
11044242	420659501001	1	38000	41.2485965	-78.7935265
11044243	420659501001	1	20000	41.2483319	-78.7937537
11044244	420659501001	1	17100	41.2490882	-78.7930232
11044245	420659501001	1	25400	41.2493508	-78.7991674
11044246	420659501001	1	82000	41.2483668	-78.7937187
11044247	420659501001	1	14400	41.2484144	-78.7932231
11044248	420659501001	1	18000	41.2481347	-78.7933799
11044249	420659501001	1	18200	41.2484434	-78.7938203
11044250	420659501001	1	51000	41.2486290	-78.7939908
11044251	420659501001	1	20000	41.2482405	-78.7931891
11044252	420659501001	1	32000	41.2486423	-78.7938810
11044253	420659501001	1	37900	41.2491195	-78.7989173
11044254	420659501001	1	28690	41.2486199	-78.7939491
11044255	420659501001	1	102000	41.2484589	-78.7940682
11044256	420659501001	1	8400	41.2484253	-78.7937029
11044257	420659501001	1	113900	41.2492558	-78.7994534
11044258	420659501001	1	10800	41.2481286	-78.7932061
11044259	420659501001	1	13500	41.2494053	-78.7998754
11044260	420659501001	1	24000	41.2490506	-78.7938448
11044261	420659501001	1	152800	41.2494079	-78.7931442
11044262	420659501001	1	49800	41.2494505	-78.7999771
11044263	420659501001	1	66300	41.2493808	-78.7993014
11044264	420659501001	1	10100	41.2493703	-78.7999575
11044265	420659501001	1	6000	41.2491972	-78.7933827
11044266	420659501001	1	29000	41.2492843	-78.7997995
11044267	420659501001	1	24700	41.2493550	-78.7994273
11044268	420659501001	1	30500	41.2491104	-78.7934171
11044269	420659501001	1	10000	41.2492305	-78.7929316
11044270	420659501001	1	28900	41.2487960	-78.7929012
11044271	420659501001	1	47910	41.2488758	-78.7932340
11044272	420659501001	1	26200	41.2489459	-78.7929827
11044273	420659501001	1	40000	41.2487926	-78.7930154
11044274	420659501001	1	0	41.2492147	-78.7936339
11044275	420659501001	1	57000	41.2492384	-78.7934692
11044276	420659501001	1	64200	41.2492105	-78.7934997
11044277	420659501001	1	20800	41.2493591	-78.7934073
11044278	420659501001	1	12100	41.2492789	-78.7934718
11044279	420659501001	1	87000	41.2489787	-78.7937133
11044280	420659501001	1	12000	41.2486680	-78.7931899
11044281	420659501001	1	65100	41.2485820	-78.7929187
11044282	420659501001	1	83900	41.2489820	-78.7933924
11044283	420659501001	1	23000	41.2490680	-78.7928542
11044284	420659501001	1	35500	41.2493016	-78.7929625
11044285	420659501001	1	15000	41.2486309	-78.7935850
11044286	420659501001	1	20600	41.2488929	-78.7940228
11044287	420659501001	1	103300	41.2494382	-78.7932900
11044288	420659501001	1	7800	41.2486370	-78.7934586
11044289	420659501001	1	54700	41.2489168	-78.7934129
11044290	420659501001	1	10000	41.2484892	-78.7946798
11044291	420659501001	1	55300	41.2494139	-78.7937305
11044292	420659501001	1	22200	41.2493173	-78.7936673
11044293	420659501001	1	23000	41.2490022	-78.7934536
11044294	420659501001	1	65500	41.2486091	-78.7942201
11044295	420659501001	1	12000	41.2485080	-78.7942239
11044296	420659501001	1	30000	41.2484451	-78.7947084
11044297	420659501001	1	36800	41.2486541	-78.7947237
11044298	420659501001	1	12900	41.2484172	-78.7944673
11044299	420659501001	1	70200	41.2486924	-78.7942839
11044300	420659501001	1	25000	41.2487240	-78.7923877
11044301	420659501001	1	3600	41.2487683	-78.7917484
11044302	420659501001	1	66000	41.2492408	-78.7922861
11044303	420659501001	1	29400	41.2493862	-78.7999431
11044304	420659501001	1	231000	41.2493265	-78.7988894
11044305	420659501001	1	24000	41.2493163	-78.7999734
11044306	420659501001	1	16200	41.2491364	-78.7989114
11044307	420659501001	1	90000	41.2481372	-78.7934918
11044308	420659501001	1	19000	41.2484924	-78.7930548
11044309	420659501001	1	14200	41.2482725	-78.7941380
11044310	420659501001	1	78700	41.2481791	-78.7934158
11044311	420659501001	1	152800	41.2481616	-78.7930812
11044312	420659501001	1	17000	41.2483989	-78.7933592
11044313	420659501001	1	40200	41.2486684	-78.7939883
11044314	420659501001	1	78000	41.2484196	-78.7936465
11044315	420659501001	1	12000	41.2485681	-78.7938449
11044316	420659501001	1	38800	41.2485143	-78.7938487
11044317	420659501001	1	19100	41.2494112	-78.7996324
11044318	420659501001	1	16020	41.2482987	-78.7940236
11044319	420659501001	1	255590	41.2481606	-78.7937134
11044320	420659501001	1	65600	41.2485304	-78.7935591
11044321	420659501001	1	0	41.2480384	-78.7930859
11044322	420659501001	1	189000	41.2485552	-78.7939760
11044323	420659501001	1	16000	41.2482286	-78.7931496
11044324	420659501001	1	19190	41.2482033	-78.7938850
11044325	420659501001	1	95000	41.2481046	-78.7934424
11044326	420659501001	1	0	41.2483759	-78.7932144
11044327	420659501001	1	8900	41.2486639	-78.7940168
11044328	420659501001	1	225000	41.2482436	-78.7930400
11044329	420659501001	1	11500	41.2481998	-78.7929754
11044330	420659501001	1	16500	41.2483281	-78.7938989
11044331	420659501001	1	152800	41.2493345	-78.7995735
11044332	420659501001	1	11800	41.2492096	-78.7988870
11044333	420659501001	1	49200	41.2487224	-78.7921431
11044334	420659501001	1	147800	41.2493264	-78.7922719
11044335	420659501001	1	15600	41.2490072	-78.7928161
11044336	420659501001	1	28500	41.2494393	-78.7999996
11044337	420659501001	1	0	41.2494153	-78.7998021
11044338	420659501001	1	58000	41.2493559	-78.7938845
11044339	420659501001	1	55000	41.2485763	-78.7921610
11044340	420659501001	1	21600	41.2484699	-78.7947744
11044341	420659501001	1	33000	41.2493495	-78.7932091
11044342	420659501001	1	12000	41.2486855	-78.7937329
11044343	420659501001	1	600	41.2485990	-78.7932356
11044344	420659501001	1	20000	41.2493782	-78.7937622
11044345	420659501001	1	16200	41.2486970	-78.7929947
11044346	420659501001	1	80100	41.2490180	-78.7938785
11044347	420659501001	1	109500	41.2487042	-78.7934142
11044348	420659501001	1	70000	41.2488032	-78.7932802
11044349	420659501001	1	31400	41.2487137	-78.7929043
11044350	420659501001	1	23000	41.2489169	-78.7935359
11044351	420659501001	1	25000	41.2487355	-78.7938747
11044352	420659501001	1	23200	41.2492169	-78.7931873
11044353	420659501001	1	34000	41.2490506	-78.7928302
11044354	420659501001	1	23400	41.2488167	-78.7931514
11044355	420659501001	1	2880	41.2494158	-78.7933832
11044356	420659501001	1	113900	41.2492164	-78.7936342
11044357	420659501001	1	57000	41.2487737	-78.7928992
11044358	420659501001	1	104800	41.2489418	-78.7931445
11044359	420659501001	1	11520	41.2490231	-78.7929928
11044360	420659501001	1	108000	41.2491827	-78.7930739
11044361	420659501001	1	4000	41.2490982	-78.7935948
11044362	420659501001	1	13800	41.2486552	-78.7933957
11044363	420659501001	1	35000	41.2489512	-78.7936629
11044364	420659501001	1	23000	41.2488058	-78.7933943
11044365	420659501001	1	9500	41.2490971	-78.7934433
11044366	420659501001	1	82000	41.2492562	-78.7935003
11044367	420659501001	1	390000	41.2495156	-78.7936816
11044368	420659501001	1	16800	41.2488179	-78.7916534
11044369	420659501001	1	45000	41.2489281	-78.7925362
11044370	420659501001	1	23000	41.2486010	-78.7941130
11044371	420659501001	1	56900	41.2485070	-78.7952330
11044372	420659501001	1	22200	41.2485863	-78.7952373
11044373	420659501001	1	27130	41.2485032	-78.7946446
11044374	420659501001	1	80100	41.2486877	-78.7950707
11044375	420659501001	1	93000	41.2484060	-78.7949904
11044376	420659501001	1	32400	41.2485266	-78.7947394
11044377	420659501001	1	40000	41.2487377	-78.7948621
11044378	420659501001	1	21000	41.2485846	-78.7948127
11044379	420659501001	1	36100	41.2486680	-78.7950410
11044380	420659501001	1	52970	41.2486934	-78.7949104
11044381	420659501001	1	29600	41.2483534	-78.7946089
11044382	420659501001	1	69100	41.2489349	-78.7926651
11044383	420659501001	1	15600	41.2487370	-78.7917926
11044384	420659501001	1	46300	41.2484906	-78.7917492
11044385	420659501001	1	57200	41.2492718	-78.7917433
11044386	420659501001	1	15000	41.2487028	-78.7927451
11044387	420659501001	1	35390	41.2486883	-78.7917078
11044388	420659501001	1	63800	41.2487496	-78.7917201
11044389	420659501002	1	34000	41.2482020	-78.7947834
11044390	420659501002	1	11500	41.2418666	-78.7912464
11044391	420659501002	1	8400	41.2449158	-78.7911409
11044392	420659501002	1	53400	41.2449835	-78.7857485
11044393	420659501002	9	353000	41.2419458	-78.7854280
11044394	420659501002	1	19000	41.2435005	-78.7860740
11044395	420659501002	1	14400	41.2459757	-78.7826734
11044396	420659501002	1	27400	41.2458963	-78.7830304
11044397	420659501002	1	76000	41.2430834	-78.7872883
11044398	420659501002	1	101800	41.2431513	-78.7878441
11044399	420659501002	1	7200	41.2456743	-78.7931462
11044400	420659501002	1	18640	41.2485084	-78.8026983
11044401	420659501002	1	47500	41.2477375	-78.7973247
11044402	420659501002	1	22200	41.2437823	-78.7780181
11044403	420659501002	9	6100	41.2421023	-78.7875509
11044404	420659501002	1	52000	41.2415858	-78.7857334
