sp_id	sp_hh_id	age	sex	race	relate	school_id	work_id
165888218	11059155	53	F	1	1	X	514268705
165888222	11059374	21	M	1	2	X	514268522
165888223	11059374	53	M	1	0	X	514269272
165906786	11052076	35	M	1	0	X	514268090
165906787	11052076	31	F	1	1	X	514267998
165906788	11052076	8	M	1	2	450129160	X
165906791	11053446	31	F	1	1	X	514270454
166023517	11058361	40	M	1	0	X	513928151
166023518	11058361	18	M	1	2	450063600	514269447
166023519	11058361	11	F	1	2	450066968	X
166023522	11060013	11	F	1	2	450066968	X
166023523	11061072	40	M	1	0	X	513933724
166023525	11061072	11	F	1	2	450066968	X
166050422	11059663	49	M	1	0	X	513937040
166050425	11060284	51	F	1	1	X	514267932
166050429	11061004	51	F	1	1	X	514268680
166127393	11059519	51	M	1	2	X	513932016
166142052	11047838	60	M	1	0	X	514266992
166142056	11048663	60	M	1	0	X	514271168
166142058	11048817	60	M	1	0	X	514267742
166142059	11050497	60	F	1	1	X	514268257
166142061	11054198	60	F	1	1	X	514269816
166142062	11054198	60	M	1	0	X	514270859
166142064	11058673	60	M	1	0	X	514269183
166142065	11058903	60	F	1	1	X	514268779
166142067	11059419	60	F	1	1	X	514269339
166142068	11059419	60	M	1	0	X	514269445
166142070	11060361	60	M	1	0	X	514270809
166426706	11050239	79	F	1	0	X	X
166426708	11060305	79	F	1	0	X	X
166426710	11062079	79	F	1	0	X	X
166479348	11048594	44	F	1	2	X	X
166479352	11048594	19	M	1	5	X	X
166479355	11051517	11	M	1	5	X	X
166479357	11051517	22	M	1	2	X	514267691
166479358	11051517	19	M	1	5	X	X
166479359	11051517	16	M	1	5	450150577	X
166479360	11055535	44	F	1	2	X	X
166479361	11055535	11	M	1	5	X	X
166479363	11055535	22	M	1	2	X	514268701
166479364	11055535	19	M	1	5	X	X
166479365	11055535	16	M	1	5	450110845	X
166479367	11055815	11	M	1	5	X	X
166479371	11055815	16	M	1	5	450110845	X
166479375	11056426	22	M	1	2	X	514268149
166479381	11056697	22	M	1	2	X	514268694
166479383	11056697	16	M	1	5	450132231	X
166479384	11056734	44	F	1	2	X	X
166479386	11056734	63	F	1	0	X	X
166479388	11056734	19	M	1	5	X	X
166479389	11056734	16	M	1	5	450150577	X
166479391	11060625	11	M	1	5	X	X
166479393	11060625	22	M	1	2	X	514269174
166479395	11060625	16	M	1	5	450150577	X
166600432	11047606	47	M	1	0	X	514265909
166600436	11054919	47	M	1	0	X	514267976
166600437	11058015	45	F	1	1	X	X
166600438	11058015	47	M	1	0	X	514269361
166633942	11047024	28	M	1	0	X	514269607
166675712	11047748	49	F	1	0	X	514268598
166675714	11051093	49	F	1	0	X	514268150
166675719	11052384	63	M	1	1	X	X
166675720	11052384	49	F	1	0	X	514272254
166675722	11058119	49	F	1	0	X	514269369
166675724	11058137	49	F	1	0	X	511610461
166681143	11045653	66	F	1	6	X	X
166681144	11045653	14	M	1	2	450110701	X
166681145	11045653	38	M	1	6	X	X
166681149	11047880	47	F	1	1	X	X
166681151	11047880	14	M	1	2	450110702	X
166681152	11047880	38	M	1	6	X	X
166681154	11047880	76	M	1	6	X	X
166681158	11052906	14	M	1	2	450150578	X
166681159	11052906	38	M	1	6	X	X
166681160	11052906	17	F	1	2	450132231	X
166681166	11053715	38	M	1	6	X	X
166681169	11053715	50	M	1	0	X	514270454
166681173	11055803	38	M	1	6	X	X
166681174	11055803	17	F	1	2	450110845	X
166681176	11055803	50	M	1	0	X	513952764
166681178	11055849	66	F	1	6	X	X
166681181	11055849	17	F	1	2	450110845	X
166681182	11055849	76	M	1	6	X	X
166681183	11055849	50	M	1	0	X	514269272
166681185	11055993	66	F	1	6	X	X
166681186	11055993	14	M	1	2	450150577	X
166681188	11055993	17	F	1	2	450150577	X
166681191	11057441	47	F	1	1	X	X
166681192	11057441	66	F	1	6	X	X
166681195	11057441	17	F	1	2	450150577	X
166681196	11057441	76	M	1	6	X	X
166681197	11057441	50	M	1	0	X	514267976
166681201	11057834	38	M	1	6	X	X
166681206	11057837	66	F	1	6	X	X
166681207	11057837	14	M	1	2	450150577	X
166681210	11057837	76	M	1	6	X	X
166681211	11057837	50	M	1	0	X	513927153
166681213	11057931	66	F	1	6	X	X
166681215	11057931	38	M	1	6	X	X
166681216	11057931	17	F	1	2	450150577	X
166681220	11057983	66	F	1	6	X	X
166681222	11057983	38	M	1	6	X	X
166681223	11057983	17	F	1	2	450150577	X
166681224	11057983	76	M	1	6	X	X
166681225	11057983	50	M	1	0	X	514269777
166681228	11057987	14	M	1	2	450150578	X
166681229	11057987	38	M	1	6	X	X
166681230	11057987	17	F	1	2	450150577	X
166681231	11057987	76	M	1	6	X	X
166681232	11057987	50	M	1	0	X	513932329
166681235	11058068	14	M	1	2	450150577	X
166681236	11058068	38	M	1	6	X	X
166681241	11058082	66	F	1	6	X	X
166681242	11058082	14	M	1	2	450150577	X
166681244	11058082	17	F	1	2	450150577	X
166681245	11058082	76	M	1	6	X	X
166681246	11058082	50	M	1	0	X	514268752
166681251	11058139	17	F	1	2	450150577	X
166681255	11059481	66	F	1	6	X	X
166681256	11059481	14	M	1	2	450150578	X
166681262	11061029	66	F	1	6	X	X
166681263	11061029	14	M	1	2	450150577	X
166729309	11045500	66	F	1	0	X	X
166729310	11048096	66	F	1	0	X	X
166729312	11053828	66	F	1	0	X	X
166729313	11055448	66	F	1	0	X	X
166729314	11056753	66	F	1	0	X	X
166729315	11060014	66	F	1	0	X	X
166729316	11060364	66	F	1	0	X	X
166729317	11061105	66	F	1	0	X	X
166906491	11051071	82	F	1	0	X	514264859
166906493	11053823	82	F	1	0	X	514270670
166906496	11062097	82	F	1	0	X	514269376
166996284	11052881	49	M	1	0	X	514271119
167000632	11052707	72	F	1	0	X	X
167126506	11054157	63	F	1	2	X	X
167126507	11054157	90	F	1	0	X	X
167126510	11059014	90	F	1	0	X	X
167230566	11048463	46	M	1	0	X	X
167230567	11049312	46	M	1	0	X	X
167230571	11059786	46	M	1	0	X	X
167296721	11047092	55	M	1	1	X	X
167296723	11048560	55	M	1	1	X	X
167296724	11052282	55	F	1	0	X	X
167330661	11045782	73	M	1	1	X	X
167330662	11058124	71	F	1	0	X	X
167330663	11058124	73	M	1	1	X	X
167574689	11044003	35	F	1	1	X	X
167574690	11044003	34	M	1	0	X	514270182
167574691	11044003	5	F	1	2	450110701	X
167574693	11044003	11	F	1	2	450110702	X
167574696	11044062	5	F	1	2	450110701	X
167574698	11044062	11	F	1	2	450110702	X
167574699	11044257	35	F	1	1	X	X
167574706	11044356	5	F	1	2	450110701	X
167574707	11044356	11	F	1	2	450110702	X
167574710	11045885	34	M	1	0	X	514269695
167574711	11045885	5	F	1	2	450145390	X
167574712	11045885	11	F	1	2	450129160	X
167574714	11048681	35	F	1	1	X	X
167574720	11049917	34	M	1	0	X	514268289
167574725	11053429	34	M	1	0	X	514268938
167574726	11053429	5	F	1	2	450111632	X
167574727	11053429	11	F	1	2	450150578	X
167574729	11055343	35	F	1	1	X	X
167574730	11055343	34	M	1	0	X	514269162
167574731	11055343	5	F	1	2	450139177	X
167574732	11055343	11	F	1	2	450110845	X
167574733	11055343	11	F	1	2	450110845	X
167574734	11055441	35	F	1	1	X	X
167574736	11055441	5	F	1	2	450139177	X
167574738	11055441	11	F	1	2	450150578	X
167574742	11056707	11	F	1	2	450150578	X
167574744	11057355	35	F	1	1	X	X
167574748	11057355	11	F	1	2	450150578	X
167574749	11058940	35	F	1	1	X	X
167574750	11058940	34	M	1	0	X	514268807
167574754	11059228	35	F	1	1	X	X
167613942	11044595	26	M	1	0	X	X
167613943	11044595	9	M	1	7	450110701	X
167613948	11056180	26	M	1	0	X	X
167613951	11056180	8	M	1	7	450139177	X
167613952	11056180	11	M	1	7	450150578	X
167613953	11056180	33	F	1	1	X	X
167613956	11056382	14	M	1	7	450150577	X
167613957	11056382	8	M	1	7	450139177	X
167613958	11056382	11	M	1	7	450150577	X
167622666	11044987	50	M	1	0	X	514269697
167622667	11044987	10	M	1	2	450110701	X
167622669	11044987	15	M	1	2	450110702	X
167622671	11056679	50	M	1	0	X	514266271
167622672	11056679	10	M	1	2	450139177	X
167624910	11048601	61	F	1	0	X	514268367
167624911	11053530	61	F	1	0	X	514270454
167767663	11054304	76	F	1	0	X	X
167767664	11062072	76	F	1	0	X	X
167777842	11051452	62	M	1	1	X	X
167777843	11051452	58	F	1	0	X	514266982
167777845	11053297	58	F	1	0	X	514268093
167796372	11049383	69	F	1	0	X	X
167796374	11057696	69	F	1	0	X	X
167796375	11059996	69	F	1	0	X	X
167978518	11044601	24	F	1	0	X	514269697
167978519	11047875	24	F	1	0	X	514271558
168086569	11050443	80	M	1	1	X	X
168086570	11050443	75	F	1	0	X	X
168086572	11059261	75	F	1	0	X	X
168149409	11047168	45	F	1	6	X	514253859
168149410	11047168	47	M	1	2	X	X
168149411	11056198	82	F	1	0	X	X
168149412	11056198	45	F	1	6	X	514268779
168149413	11056198	47	M	1	2	X	X
168350814	11044659	61	M	1	1	X	X
168350816	11051212	61	M	1	1	X	X
168350819	11054963	65	F	1	0	X	X
168411002	11052521	70	F	1	0	X	X
168411004	11058883	70	F	1	0	X	X
168411006	11060618	70	F	1	0	X	X
168642920	11045134	67	F	1	1	X	514270701
168642921	11045134	75	M	1	0	X	X
168642922	11045213	67	F	1	1	X	513553082
168642923	11045213	75	M	1	0	X	X
168679424	11047743	60	F	1	3	X	X
168679426	11054333	78	M	1	12	X	X
168679428	11058379	50	M	1	0	X	X
168679430	11058379	60	F	1	3	X	X
168679432	11061124	78	M	1	12	X	X
168682818	11049669	20	M	1	0	X	X
168682819	11052002	20	M	1	0	X	X
168682820	11052971	20	M	1	0	X	X
168682823	11056037	20	M	1	0	X	X
168682824	11059599	20	M	1	0	X	X
168682825	11060445	20	M	1	0	X	X
168682826	11060648	20	M	1	0	X	X
168682827	11060647	20	M	1	0	X	X
168682828	11060787	20	M	1	0	X	X
168682830	11061793	20	M	1	0	X	X
168682831	11061802	20	M	1	0	X	X
168833417	11047056	47	F	1	0	X	514270840
168833419	11047259	17	F	1	2	X	514262758
168833420	11047259	47	F	1	0	X	514269361
168833421	11047259	18	M	1	12	X	X
168833424	11055778	18	M	1	12	X	X
168833426	11058512	47	F	1	0	X	514267988
168833427	11058512	18	M	1	12	X	X
168850925	11053584	47	M	1	0	X	514270825
168850928	11053584	16	F	1	2	450132231	514267678
168850929	11053805	47	M	1	0	X	514271168
168850931	11053805	44	F	1	1	X	514270453
168850933	11060889	47	M	1	0	X	513560213
168850934	11060889	13	M	1	2	450150577	X
168909594	11044078	50	F	1	0	X	514269666
168909597	11052318	50	F	1	0	X	514271168
168909601	11059705	50	F	1	0	X	513925854
169020170	11050456	66	F	1	0	X	514267791
169074566	11045689	62	F	1	1	X	514268683
169074567	11047148	47	M	1	0	X	X
169074570	11050743	47	M	1	0	X	X
169116811	11046178	43	M	1	2	X	X
169116812	11046178	67	F	1	0	X	X
169116814	11046625	67	F	1	0	X	X
169116818	11057777	67	F	1	0	X	X
169116819	11062312	43	M	1	2	X	X
169214759	11058744	69	F	1	1	X	X
169214760	11058744	73	M	1	0	X	X
169236651	11058396	85	F	1	0	X	X
169236652	11058396	56	F	1	2	X	513933532
169302180	11044939	77	M	1	0	X	X
169302183	11053806	77	F	1	1	X	X
169302184	11056262	77	M	1	0	X	X
169302185	11056262	77	F	1	1	X	X
169318268	11047453	75	F	1	1	X	X
169318270	11052119	75	F	1	1	X	X
169318273	11053017	79	M	1	0	X	X
169318276	11055076	75	F	1	1	X	X
169376304	11049205	77	M	1	0	X	514265872
169376305	11050059	77	M	1	0	X	514268522
169376306	11061661	77	M	1	0	X	514268522
169472181	11044434	17	F	1	2	450110702	514270241
169472182	11044434	46	F	1	0	X	514270999
169472183	11045647	17	F	1	2	450110702	514273234
169472186	11046307	46	F	1	0	X	514269936
169472188	11046398	46	F	1	0	X	514270406
169472189	11046995	17	F	1	2	450110845	514270454
169472190	11046995	46	F	1	0	X	514272658
169472191	11047483	17	F	1	2	450110845	514269075
169472194	11047965	46	F	1	0	X	514268093
169472196	11048152	46	F	1	0	X	514270908
169472199	11051802	17	F	1	2	450110845	514267988
169472202	11054921	46	F	1	0	X	514270454
169472204	11055496	46	F	1	0	X	514269387
169472207	11056818	17	F	1	2	450150577	514271540
169472208	11056818	46	F	1	0	X	514269827
169472209	11058348	17	F	1	2	450150577	514269361
169473432	11047348	53	F	1	1	X	514267167
169473433	11047348	53	M	1	0	X	514265913
169473434	11049507	53	F	1	1	X	514270454
169473435	11049507	53	M	1	0	X	514267727
169483397	11043890	22	F	1	2	X	X
169483398	11043890	0	M	1	5	X	X
169483403	11047769	22	F	1	2	X	X
169483404	11047769	0	M	1	5	X	X
169483405	11047769	47	F	1	1	X	X
169483409	11056299	22	F	1	2	X	X
169483410	11056299	0	M	1	5	X	X
169483416	11057219	0	M	1	5	X	X
169483418	11057219	8	M	1	5	450149079	X
169483419	11057219	4	M	1	5	450102519	X
169520797	11044910	88	M	1	1	X	X
169520798	11047630	84	F	1	0	X	X
169520799	11047630	88	M	1	1	X	X
169520800	11052094	84	F	1	0	X	X
169520801	11052094	88	M	1	1	X	X
169520802	11053771	84	F	1	0	X	X
169520803	11053771	88	M	1	1	X	X
169520805	11054075	88	M	1	1	X	X
169520807	11054416	88	M	1	1	X	X
169520809	11054876	88	M	1	1	X	X
169520810	11059093	84	F	1	0	X	X
169520812	11061320	84	F	1	0	X	X
169520814	11062168	84	F	1	0	X	X
169520815	11062168	88	M	1	1	X	X
169698410	11053054	45	M	1	1	X	514267799
169698411	11053054	42	F	1	0	X	514273552
169815807	11051805	58	M	1	0	X	514267791
169853709	11046256	17	M	1	2	450110702	X
169853710	11046256	41	F	1	1	X	X
169853712	11047569	17	M	1	2	450132231	X
169853715	11047947	17	M	1	2	450110702	X
169853716	11047947	41	F	1	1	X	X
169853717	11049491	47	M	1	0	X	514265567
169853718	11049491	17	M	1	2	450110845	X
169853723	11058219	47	M	1	0	X	514269371
169853724	11058219	17	M	1	2	450150577	X
169853728	11058927	41	F	1	1	X	X
169853731	11060189	41	F	1	1	X	X
169853733	11061293	17	M	1	2	450150577	X
169853734	11061293	41	F	1	1	X	X
169869793	11045892	40	M	1	2	X	514269695
169869794	11045892	4	F	1	5	X	X
169869796	11045892	69	F	1	0	X	X
169869799	11047744	40	M	1	2	X	514268229
169869800	11047744	4	F	1	5	X	X
169869801	11047744	1	F	1	5	X	X
169869802	11047744	69	F	1	0	X	X
169869805	11053657	40	M	1	2	X	514268938
169869807	11053657	1	F	1	5	X	X
169869810	11053657	16	F	1	5	450132231	X
169869812	11053677	4	F	1	5	X	X
169869813	11053677	1	F	1	5	X	X
169869815	11053677	68	M	1	1	X	X
169869817	11057068	40	M	1	2	X	512354515
169869818	11057068	4	F	1	5	X	X
169869819	11057068	1	F	1	5	X	X
169869821	11057068	68	M	1	1	X	X
169869822	11057068	16	F	1	5	450150577	X
169869823	11057417	40	M	1	2	X	513966246
169869824	11057417	4	F	1	5	X	X
169869825	11057417	1	F	1	5	X	X
169869826	11057417	69	F	1	0	X	X
169869827	11057417	68	M	1	1	X	X
169937528	11046934	55	M	1	0	X	X
169937529	11046934	55	F	1	1	X	X
169937535	11054758	55	F	1	1	X	X
169937536	11058503	55	M	1	0	X	X
169937537	11058503	55	F	1	1	X	X
169937538	11060960	55	M	1	0	X	X
169937539	11060960	55	F	1	1	X	X
169937542	11061622	55	M	1	0	X	X
169937545	11061775	55	F	1	1	X	X
169937547	11062112	55	F	1	1	X	X
169956860	11060293	68	F	1	0	X	X
169985118	11046017	74	F	1	0	X	X
169985120	11057404	74	F	1	0	X	X
170075912	11053056	52	F	1	1	X	514270884
170075914	11056974	52	F	1	1	X	513930261
170075915	11060724	60	M	1	0	X	514269250
170075916	11060724	52	F	1	1	X	513931391
170171732	11055129	76	M	1	0	X	X
170171733	11055129	69	F	1	1	X	X
170262532	11047711	67	F	1	1	X	X
170262533	11049297	68	M	1	0	X	514268289
170262534	11049297	67	F	1	1	X	X
170420592	11054193	58	M	1	0	X	X
170420595	11057555	50	F	1	1	X	513927056
170420596	11058866	58	M	1	0	X	X
170420598	11062277	58	M	1	0	X	X
170420599	11062277	50	F	1	1	X	513941654
170484244	11045801	61	M	1	0	X	X
170484245	11045801	55	F	1	1	X	514269695
170484248	11047328	61	M	1	0	X	X
170484253	11054209	55	F	1	1	X	514269499
170484254	11055940	61	M	1	0	X	X
170484255	11055940	55	F	1	1	X	514005230
170484259	11060838	55	F	1	1	X	514268856
170538186	11047735	16	M	1	2	450132231	X
170538187	11057340	44	F	1	1	X	514269322
170540292	11045982	33	M	1	1	X	514268138
170540293	11045982	12	M	1	2	450129160	X
170540296	11047905	12	M	1	2	450111632	X
170540297	11048778	33	F	1	0	X	514268411
170540299	11048778	12	M	1	2	450110845	X
170540300	11049151	33	F	1	0	X	514268031
170540304	11050462	33	M	1	1	X	514270908
170540305	11050462	12	M	1	2	450110845	X
170540306	11058758	33	F	1	0	X	514268838
170540307	11058758	33	M	1	1	X	514269382
170540308	11058758	12	M	1	2	450110845	X
170610175	11044340	76	F	1	0	X	X
170610177	11049971	76	F	1	0	X	X
170610179	11053824	76	F	1	0	X	X
170610180	11056070	79	M	1	1	X	X
170610181	11056070	76	F	1	0	X	X
170610182	11059510	79	M	1	1	X	X
170610185	11061010	76	F	1	0	X	X
170620589	11060798	7	F	1	2	450132458	X
170620590	11060798	36	F	1	1	X	514269445
170624897	11050968	62	M	1	0	X	X
170624900	11060123	59	F	1	1	X	514269150
170686154	11045261	5	M	1	2	450066968	X
170686155	11045261	33	M	1	0	X	514271592
170686156	11045261	3	M	1	2	X	X
170686157	11045261	25	F	1	1	X	514400389
170686158	11048047	5	M	1	2	450066968	X
170686160	11048047	3	M	1	2	X	X
170686166	11052823	5	M	1	2	450066968	X
170686167	11052823	33	M	1	0	X	514269510
170686169	11052823	25	F	1	1	X	514268908
170686172	11053981	3	M	1	2	X	X
170686173	11053981	25	F	1	1	X	514270610
170686177	11055050	25	F	1	1	X	514269603
170686178	11055073	5	M	1	2	450066968	X
170686183	11059512	33	M	1	0	X	513934654
170686184	11059512	3	M	1	2	X	X
170686186	11062272	5	M	1	2	450066968	X
170686187	11062272	33	M	1	0	X	514269445
170686188	11062272	3	M	1	2	X	X
170743866	11044633	28	F	1	1	X	X
170743869	11044633	0	F	1	2	X	X
170743871	11048183	28	F	1	1	X	X
170743875	11048183	7	F	1	2	450111632	X
170743876	11049598	28	F	1	1	X	X
170743877	11049598	1	F	1	2	X	X
170743878	11049598	32	M	1	0	X	514267940
170743880	11049598	7	F	1	2	450129160	X
170743882	11050218	1	F	1	2	X	X
170743883	11050218	32	M	1	0	X	514267680
170743886	11051277	28	F	1	1	X	X
170743889	11051277	0	F	1	2	X	X
170743890	11051277	7	F	1	2	450129160	X
170743891	11054229	28	F	1	1	X	X
170743892	11054229	1	F	1	2	X	X
170743895	11054229	7	F	1	2	450111632	X
170743896	11056960	28	F	1	1	X	X
170743897	11056960	1	F	1	2	X	X
170743898	11056960	32	M	1	0	X	514269275
171159886	11045965	41	F	1	0	X	514402550
171159887	11045965	17	M	1	2	450110845	X
171159888	11045965	42	M	1	1	X	514269638
171159890	11051824	41	F	1	0	X	514267549
171159894	11053667	41	F	1	0	X	514268938
171159896	11053667	42	M	1	1	X	514270119
171159897	11053667	14	F	1	2	450132231	X
171159899	11055181	17	M	1	2	450150577	X
171159900	11055181	42	M	1	1	X	514269445
171159901	11055181	14	F	1	2	450150577	X
171159904	11056727	42	M	1	1	X	514269557
171159906	11056756	41	F	1	0	X	514268807
171159908	11056756	42	M	1	1	X	514270072
171159911	11057814	17	M	1	2	450150577	X
171159914	11058602	41	F	1	0	X	514268522
171159915	11058602	17	M	1	2	450150577	X
171159916	11058602	42	M	1	1	X	514269305
171159917	11058602	14	F	1	2	450150577	X
171200903	11051030	64	F	1	1	X	X
171200905	11053475	64	F	1	1	X	X
171200906	11053475	70	M	1	0	X	X
171200907	11055685	64	F	1	1	X	X
171200910	11060380	70	M	1	0	X	X
171227798	11050099	62	F	1	0	X	X
171227799	11056934	62	F	1	0	X	X
171227800	11057363	62	F	1	0	X	X
171369481	11053645	24	M	1	0	X	514270454
171369482	11061588	24	M	1	0	X	514267900
171372683	11046866	41	M	1	0	X	514270781
171372688	11051582	41	M	1	0	X	514267220
171372689	11051582	36	F	1	1	X	514268161
171372691	11051582	5	M	1	2	450145390	X
171372693	11052783	41	M	1	0	X	514268935
171372695	11052783	16	F	1	2	450132231	X
171372696	11052783	5	M	1	2	450111632	X
171372697	11057195	18	M	1	2	X	514270781
171372698	11057195	41	M	1	0	X	513916768
171372699	11057195	36	F	1	1	X	514270561
171372700	11057195	16	F	1	2	450132231	X
171372703	11059257	41	M	1	0	X	514267262
171372704	11059257	36	F	1	1	X	514269861
171372705	11059257	16	F	1	2	450150577	X
171375850	11044122	18	F	1	2	450110702	514270014
171375851	11044122	39	F	1	0	X	514270857
171375854	11047887	39	F	1	0	X	514269734
171375855	11048095	7	F	1	2	450111632	X
171375856	11048095	18	F	1	2	450132231	514267010
171375857	11048095	39	F	1	0	X	514268313
171375858	11048564	7	F	1	2	450129160	X
171375860	11048564	39	F	1	0	X	514266660
171375862	11054858	18	F	1	2	450150577	514268898
171375863	11054858	39	F	1	0	X	514272907
171375866	11060820	39	F	1	0	X	514268769
171584637	11055828	82	M	1	0	X	X
171664478	11046099	27	F	1	1	X	514270464
171664479	11046099	35	M	1	0	X	514273116
171664481	11060132	27	F	1	1	X	514269441
171664483	11060132	2	M	1	2	X	X
171780403	11057803	30	F	1	1	X	514268529
172060126	11047367	5	M	1	5	X	X
172060128	11047367	53	F	1	1	X	514268414
172060132	11048126	35	F	1	3	X	X
172060133	11048126	53	F	1	1	X	514271094
172060137	11056750	35	F	1	3	X	X
172060138	11056750	53	F	1	1	X	514270454
172084577	11047780	10	M	1	2	450111632	X
172084578	11047780	13	M	1	2	450111632	X
172084580	11047780	1	F	1	11	X	X
172084581	11047780	59	F	1	0	X	X
172084582	11047780	7	M	1	5	450111632	X
172230059	11044156	26	M	1	0	X	X
172230060	11044488	26	M	1	0	X	X
172230061	11045867	26	M	1	0	X	X
172230065	11049968	26	M	1	0	X	X
172230067	11051133	26	M	1	0	X	X
172230069	11060082	26	M	1	0	X	X
172234682	11044969	49	M	1	0	X	514270866
172234684	11044969	12	M	1	2	450110702	X
172234685	11044969	17	M	1	2	450110702	X
172234688	11046832	49	M	1	0	X	514269936
172234689	11046832	9	F	1	2	450129160	X
172234692	11046832	46	F	1	1	X	X
172234693	11058689	19	F	1	2	X	X
172234695	11058689	9	F	1	2	450150578	X
172234698	11058689	46	F	1	1	X	X
172338259	11045858	65	F	1	1	X	X
172338264	11049106	66	M	1	0	X	514267680
172338265	11049327	65	F	1	1	X	X
172338266	11049327	66	M	1	0	X	514268152
172338267	11052478	65	F	1	1	X	X
172338272	11058432	66	M	1	0	X	513607072
172448397	11050871	89	F	1	0	X	X
172452464	11050345	76	F	1	0	X	X
172452465	11050909	76	F	1	0	X	X
172452466	11052424	76	F	1	0	X	X
172452468	11056384	76	F	1	0	X	X
172452469	11056857	76	F	1	0	X	X
172452470	11061753	76	F	1	0	X	X
172534021	11058268	73	F	1	0	X	X
172635622	11053439	40	M	1	0	X	514270908
172635624	11053439	17	M	1	2	X	X
