sp_id	sp_gq_id	age	sex
942533030	450008429	51	M
942533031	450008429	27	M
942533032	450008429	36	M
942533033	450008429	29	M
942533034	450008429	48	M
942533035	450008429	55	M
942533036	450008429	58	M
942533037	450008429	30	M
942533038	450008429	34	M
942533039	450008429	48	M
942533040	450008429	46	M
942533041	450008429	24	M
942533042	450008429	25	M
942533043	450008429	25	M
942533044	450008429	22	M
942533045	450008429	20	M
942533046	450008429	18	M
942533047	450008429	43	M
942533048	450008429	45	M
942533049	450008429	46	M
942533050	450008429	36	M
942533051	450008429	23	M
942533052	450008429	37	M
942533053	450008429	32	M
942533054	450008429	43	M
942533055	450008429	22	M
942533056	450008429	32	M
942533057	450008429	36	M
942533058	450008429	52	M
942533059	450008429	54	M
942533060	450008429	39	M
942533061	450008429	49	M
942533062	450008429	25	M
942533063	450008429	54	M
942533064	450008429	36	M
942533065	450008429	20	M
942533066	450008429	30	M
942533067	450008429	43	M
942533068	450008429	35	M
942533069	450008429	22	M
942533070	450008429	20	M
942533071	450008429	43	M
942533072	450008429	20	M
942533073	450008429	25	M
942533074	450008429	45	M
942533075	450008429	44	M
942533076	450008429	34	M
942533077	450008429	31	M
942533078	450008429	40	M
942533079	450008429	46	M
942533080	450008429	41	M
942533081	450008429	62	M
942533082	450008429	25	M
942533083	450008429	35	M
942533084	450008429	29	M
942533085	450008429	48	M
942533086	450008429	53	M
942533087	450008429	30	M
942533088	450008429	44	M
942533089	450008429	25	M
942533090	450008429	55	M
942533091	450008429	21	M
942533092	450008429	18	M
942533093	450008429	33	M
942533094	450008429	21	M
942533095	450008429	33	M
942533096	450008429	43	M
942533097	450008429	29	M
942533098	450008429	54	M
942533099	450008429	31	M
942533100	450008429	27	M
942533101	450008429	43	M
942533102	450008429	55	M
942533103	450008429	58	M
942533104	450008429	39	M
942533105	450008429	41	M
942533106	450008429	31	M
942533107	450008429	51	M
942533108	450008429	51	M
942533109	450008429	49	M
942533110	450008429	33	M
942533111	450008429	48	M
942533112	450008429	23	M
942533113	450008429	31	M
942533114	450008429	21	M
942533115	450008429	51	M
942533116	450008429	46	M
942533117	450008429	18	M
942533118	450008429	54	M
942533119	450008429	22	M
942533120	450008429	64	M
942533121	450008429	37	M
942533122	450008429	42	M
942533123	450008429	47	M
942533124	450008429	48	M
942533125	450008429	20	M
942533126	450008429	39	M
942533127	450008429	32	M
942533128	450008429	47	M
942533129	450008429	56	M
942533130	450008429	42	M
942533131	450008429	32	M
942533132	450008429	23	M
942533133	450008429	30	M
942533134	450008429	46	M
942533135	450008429	51	M
942533136	450008429	45	M
942533137	450008429	29	M
942533138	450008429	23	M
942533139	450008429	32	M
942533140	450008429	41	M
942533141	450008429	20	M
942533142	450008429	54	M
942533143	450008429	27	M
942533144	450008429	24	M
942533145	450008429	61	M
942533146	450008429	39	M
942533147	450008429	38	M
942533148	450008429	49	M
942533149	450008429	21	M
942533150	450008429	28	M
942533151	450008429	32	M
942533152	450008429	23	M
942533153	450008429	24	M
942533154	450008429	32	M
942533155	450008429	45	M
942533156	450008429	38	M
942533157	450008429	21	M
942533158	450008429	59	M
942533159	450008429	48	M
942533160	450008429	57	M
942533161	450008429	33	M
942533162	450008429	29	M
942533163	450008429	49	M
942533164	450008429	44	M
942533165	450008429	24	M
942533166	450008429	44	M
942533167	450008429	30	M
942533168	450008429	25	M
942533169	450008429	40	M
942533170	450008429	27	M
942533171	450008429	20	M
942533172	450008429	48	M
942533173	450008429	25	M
942533174	450008429	38	M
942533175	450008429	64	M
942533176	450008429	42	M
942533177	450008429	58	M
942533178	450008429	32	M
942533179	450008429	33	M
942533180	450008429	45	M
942533181	450008429	35	M
942533182	450008429	30	M
942533183	450008429	51	M
942533184	450008429	34	M
942533185	450008429	47	M
942533186	450008429	32	M
942533187	450008429	38	M
942533188	450008429	42	M
942533189	450008429	39	M
942533190	450008429	38	M
942533191	450008429	39	M
942533192	450008429	40	M
942533193	450008429	37	M
942533194	450008429	29	M
942533195	450008429	33	M
942533196	450008429	28	M
942533197	450008429	34	M
942533198	450008429	41	M
942533199	450008429	49	M
942533200	450008429	51	M
942533201	450008429	25	M
942533202	450008429	31	M
942533203	450008429	38	M
942533204	450008429	48	M
942533205	450008429	46	M
942533206	450008429	45	M
942533207	450008429	23	M
942533208	450008429	29	M
942533209	450008429	41	M
942533210	450008429	26	M
942533211	450008429	37	M
942533212	450008429	60	M
942533213	450008429	38	M
942533214	450008429	42	M
942533215	450008429	36	M
942533216	450008429	44	M
942533217	450008429	37	M
942533218	450008429	25	M
942533219	450008429	42	M
942533220	450008429	45	M
942533221	450008429	46	M
942533222	450008429	62	M
942533223	450008429	22	M
942533224	450008429	44	M
942533225	450008429	35	M
942533226	450008429	31	M
942533227	450008429	41	M
942533228	450008429	34	M
942533229	450008429	36	M
942533230	450008429	44	M
942533231	450008429	36	M
942533232	450008429	30	M
942533233	450008429	30	M
942533234	450008429	34	M
942533235	450008429	48	M
942533236	450008429	47	M
942533237	450008429	26	M
942533238	450008429	24	M
942533239	450008429	33	M
942533240	450008429	39	M
942533241	450008429	45	M
942533242	450008429	39	M
942533243	450008429	56	M
942533244	450008429	35	M
942533245	450008429	52	M
942533246	450008429	22	M
942533247	450008429	41	M
942533248	450008429	41	M
942533249	450008429	32	M
942533250	450008429	29	M
942533251	450008429	56	M
942533252	450008429	42	M
942533253	450008429	27	M
942533254	450008429	35	M
942533255	450008429	42	M
942533256	450008429	40	M
942533257	450008429	56	M
942533258	450008429	26	M
942533259	450008429	48	M
942533260	450008429	37	M
942533261	450008429	28	M
942533262	450008429	32	M
942533263	450008429	23	M
942533264	450008429	24	M
942533265	450008429	32	M
942533266	450008429	41	M
942533267	450008429	58	M
942533268	450008429	53	M
942533269	450008429	31	M
942533270	450008429	46	M
942533271	450008429	31	M
942533272	450008429	26	M
942533273	450008429	25	M
942533274	450008429	25	M
942533275	450008429	36	M
942533276	450008429	49	M
942533277	450008429	34	M
942533278	450008429	35	M
942533279	450008429	34	M
942533280	450008429	53	M
942533281	450008429	31	M
942533282	450008429	48	M
942533283	450008429	18	M
942533284	450008429	46	M
942533285	450008429	28	M
942533286	450008429	53	M
942533287	450008429	45	M
942533288	450008429	29	M
942533289	450008429	41	M
942533290	450008429	20	M
942533291	450008429	47	M
942533292	450008429	20	M
942533293	450008429	32	M
942533294	450008429	43	M
942533295	450008429	47	M
942533296	450008429	28	M
942533297	450008429	54	M
942533298	450008429	51	M
942533299	450008429	39	M
942533300	450008429	25	M
942533301	450008429	47	M
942533302	450008429	53	M
942533303	450008429	42	M
942533304	450008429	36	M
942533305	450008429	23	M
942533306	450008429	26	M
942533307	450008429	40	M
942533308	450008429	33	M
942533309	450008429	32	M
942533310	450008429	30	M
942533311	450008429	50	M
942533312	450008429	24	M
942533313	450008429	32	M
942533314	450008429	31	M
942533315	450008429	49	M
942533316	450008429	44	M
942533317	450008429	22	M
942533318	450008429	26	M
942533319	450008429	42	M
942533320	450008429	39	M
942533321	450008429	44	M
942533322	450008429	53	M
942533323	450008429	27	M
942533324	450008429	30	M
942533325	450008429	35	M
942533326	450008429	30	M
942533327	450008429	25	M
942533328	450008429	35	M
942533329	450008429	31	M
942533330	450008429	45	M
942533331	450008429	34	M
942533332	450008429	47	M
942533333	450008429	62	M
942533334	450008429	29	M
942533335	450008429	45	M
942533336	450008429	24	M
942533337	450008429	20	M
942533338	450008429	34	M
942533339	450008429	38	M
942533340	450008429	34	M
942533341	450008429	55	M
942533342	450008429	51	M
942533343	450008429	44	M
942533344	450008429	25	M
942533345	450008429	28	M
942533346	450008429	39	M
942533347	450008429	38	M
942533348	450008429	26	M
942533349	450008429	52	M
942533350	450008429	35	M
942533351	450008429	49	M
942533352	450008429	22	M
942533353	450008429	41	M
942533354	450008429	29	M
942533355	450008429	48	M
942533356	450008429	31	M
942533357	450008429	19	M
942533358	450008429	31	M
942533359	450008429	21	M
942533360	450008429	43	M
942533361	450008429	42	M
942533362	450008429	33	M
942533363	450008429	21	M
942533364	450008429	44	M
942533365	450008429	37	M
942533366	450008429	26	M
942533367	450008429	36	M
942533368	450008429	44	M
942533369	450008429	27	M
942533370	450008429	34	M
942533371	450008429	59	M
942533372	450008429	45	M
942533373	450008429	44	M
942533374	450008429	42	M
942533375	450008429	35	M
942533376	450008429	53	M
942533377	450008429	26	M
942533378	450008429	47	M
942533379	450008429	38	M
942533380	450008429	43	M
942533381	450008429	47	M
942533382	450008429	38	M
942533383	450008429	42	M
942533384	450008429	54	M
942533385	450008429	55	M
942533386	450008429	39	M
942533387	450008429	39	M
942533388	450008429	18	M
942533389	450008429	28	M
942533390	450008429	33	M
942533391	450008429	38	M
942533392	450008429	49	M
942533393	450008429	23	M
942533394	450008429	31	M
942533395	450008429	33	M
942533396	450008429	39	M
942533397	450008429	32	M
942533398	450008429	55	M
942533399	450008429	26	M
942533400	450008429	39	M
942533401	450008429	32	M
942533402	450008429	26	M
942533403	450008429	51	M
942533404	450008429	25	M
942533405	450008429	27	M
942533406	450008429	23	M
942533407	450008429	60	M
942533408	450008429	37	M
942533409	450008429	36	M
942533410	450008429	36	M
942533411	450008429	45	M
942533412	450008429	29	M
942533413	450008429	53	M
942533414	450008429	29	M
942533415	450008429	34	M
942533416	450008429	38	M
942533417	450008429	55	M
942533418	450008429	40	M
942533419	450008429	20	M
942533420	450008429	31	M
942533421	450008429	29	M
942533422	450008429	36	M
942533423	450008429	26	M
942533424	450008429	29	M
942533425	450008429	35	M
942533426	450008429	24	M
942533427	450008429	22	M
942533428	450008429	62	M
942533429	450008429	41	M
942533430	450008429	40	M
942533431	450008429	31	M
942533432	450008429	48	M
942533433	450008429	28	M
942533434	450008429	47	M
942533435	450008429	29	M
942533436	450008429	39	M
942533437	450008429	63	M
942533438	450008429	23	M
942533439	450008429	33	M
942533440	450008429	30	M
942533441	450008429	33	M
942533442	450008429	36	M
942533443	450008429	30	M
942533444	450008429	34	M
942533445	450008429	42	M
942533446	450008429	44	M
942533447	450008429	59	M
942533448	450008429	34	M
942533449	450008429	34	M
942533450	450008429	32	M
942533451	450008429	54	M
942533452	450008429	61	M
942533453	450008429	61	M
942533454	450008429	20	M
942533455	450008429	49	M
942533456	450008429	51	M
942533457	450008429	42	M
942533458	450008429	32	M
942533459	450008429	29	M
942533460	450008429	22	M
942533461	450008429	53	M
942533462	450008429	42	M
942533463	450008429	30	M
942533464	450008429	45	M
942533465	450008429	30	M
942533466	450008429	36	M
942533467	450008429	24	M
942533468	450008429	34	M
942533469	450008429	35	M
942533470	450008429	23	M
942533471	450008429	41	M
942533472	450008429	39	M
942533473	450008429	58	M
942533474	450008429	29	M
942533475	450008429	52	M
942533476	450008429	28	M
942533477	450008429	40	M
942533478	450008429	42	M
942533479	450008429	47	M
942533480	450008429	47	M
942533481	450008429	24	M
942533482	450008429	26	M
942533483	450008429	45	M
942533484	450008429	24	M
942533485	450008429	44	M
942533486	450008429	26	M
942533487	450008429	47	M
942533488	450008429	33	M
942533489	450008429	47	M
942533490	450008429	20	M
942533491	450008429	38	M
942533492	450008429	61	M
942533493	450008429	43	M
942533494	450008429	52	M
942533495	450008429	33	M
942533496	450008429	47	M
942533497	450008429	19	M
942533498	450008429	49	M
942533499	450008429	35	M
942533500	450008429	37	M
942533501	450008429	23	M
942533502	450008429	31	M
942533503	450008429	46	M
942533504	450008429	30	M
942533505	450008429	47	M
942533506	450008429	29	M
942533507	450008429	20	M
942533508	450008429	43	M
942533509	450008429	43	M
942533510	450008429	25	M
942533511	450008429	46	M
942533512	450008429	45	M
942533513	450008429	37	M
942533514	450008429	36	M
942533515	450008429	32	M
942533516	450008429	59	M
942533517	450008429	40	M
942533518	450008429	51	M
942533519	450008429	54	M
942533520	450008429	32	M
942533521	450008429	26	M
942533522	450008429	32	M
942533523	450008429	36	M
942533524	450008429	29	M
942533525	450008429	51	M
942533526	450008429	49	M
942533527	450008429	46	M
942533528	450008429	23	M
942533529	450008429	27	M
942533530	450008429	41	M
942533531	450008429	56	M
942533532	450008429	44	M
942533533	450008429	35	M
942533534	450008429	30	M
942533535	450008429	32	M
942533536	450008429	45	M
942533537	450008429	48	M
942533538	450008429	26	M
942533539	450008429	42	M
942533540	450008429	33	M
942533541	450008429	42	M
942533542	450008429	20	M
942533543	450008429	36	M
942533544	450008429	30	M
942533545	450008429	37	M
942533546	450008429	42	M
942533547	450008429	62	M
942533548	450008429	54	M
942533549	450008429	26	M
942533550	450008429	29	M
942533551	450008429	28	M
942533552	450008429	59	M
942533553	450008429	45	M
942533554	450008429	47	M
942533555	450008429	25	M
942533556	450008429	37	M
942533557	450008429	44	M
942533558	450008429	43	M
942533559	450008429	33	M
942533560	450008429	26	M
942533561	450008429	64	M
942533562	450008429	60	M
942533563	450008429	56	M
942533564	450008429	51	M
942533565	450008429	20	M
942533566	450008429	28	M
942533567	450008429	40	M
942533568	450008429	26	M
942533569	450008429	38	M
942533570	450008429	39	M
942533571	450008429	29	M
942533572	450008429	47	M
942533573	450008429	34	M
942533574	450008429	57	M
942533575	450008429	24	M
942533576	450008429	25	M
942533577	450008429	52	M
942533578	450008429	33	M
942533579	450008429	30	M
942533580	450008429	52	M
942533581	450008429	30	M
942533582	450008429	31	M
942533583	450008429	35	M
942533584	450008429	41	M
942533585	450008429	46	M
942533586	450008429	38	M
942533587	450008429	27	M
942533588	450008429	27	M
942533589	450008429	35	M
942533590	450008429	32	M
942533591	450008429	30	M
942533592	450008429	35	M
942533593	450008429	49	M
942533594	450008429	25	M
942533903	450008429	28	M
942533904	450008429	50	M
942533905	450008429	51	M
942533906	450008429	43	M
942533907	450008429	40	M
942533908	450008429	45	M
942533909	450008429	35	M
942533910	450008429	26	M
942533911	450008429	29	M
942533912	450008429	23	M
942533913	450008429	30	M
942533914	450008429	42	M
942533915	450008429	31	M
942533916	450008429	53	M
942533917	450008429	27	M
942533918	450008429	38	M
942533919	450008429	33	M
942533920	450008429	33	M
942533921	450008429	34	M
942533922	450008429	41	M
942533923	450008429	48	M
942533924	450008429	24	M
942533925	450008429	36	M
942533926	450008429	24	M
942533927	450008429	36	M
942533928	450008429	39	M
942533929	450008429	38	M
942533930	450008429	22	M
942533931	450008429	47	M
942533932	450008429	41	M
942533933	450008429	28	M
942533934	450008429	24	M
942533935	450008429	31	M
942533936	450008429	34	M
942533937	450008429	31	M
942533938	450008429	50	M
942533939	450008429	63	M
942533940	450008429	47	M
942533941	450008429	43	M
942533942	450008429	29	M
942533943	450008429	34	M
942533944	450008429	58	M
942533945	450008429	58	M
942533946	450008429	28	M
942533947	450008429	37	M
942533948	450008429	26	M
942533949	450008429	18	M
942533950	450008429	38	M
942533951	450008429	48	M
942533952	450008429	29	M
942533953	450008429	25	M
942533954	450008429	57	M
942533955	450008429	51	M
942533956	450008429	21	M
942533957	450008429	31	M
942533958	450008429	38	M
942533959	450008429	37	M
942533960	450008429	45	M
942533961	450008429	42	M
942533962	450008429	31	M
942533963	450008429	34	M
942533964	450008429	36	M
942533965	450008429	33	M
942533966	450008429	21	M
942533967	450008429	53	M
942533968	450008429	40	M
942533969	450008429	29	M
942533970	450008429	32	M
942533971	450008429	39	M
942533972	450008429	35	M
942533973	450008429	50	M
942533974	450008429	48	M
942533975	450008429	59	M
942533976	450008429	54	M
942533977	450008429	31	M
942533978	450008429	32	M
942533979	450008429	31	M
942533980	450008429	29	M
942533981	450008429	62	M
942533982	450008429	42	M
942533983	450008429	23	M
942533984	450008429	47	M
942533985	450008429	53	M
942533986	450008429	27	M
942533987	450008429	31	M
942533988	450008429	27	M
942533989	450008429	32	M
942533990	450008429	47	M
942533991	450008429	32	M
942533992	450008429	46	M
942533993	450008429	42	M
942533994	450008429	45	M
942533995	450008429	36	M
942533996	450008429	31	M
942533997	450008429	24	M
942533998	450008429	61	M
942533999	450008429	32	M
942534000	450008429	51	M
942534001	450008429	32	M
942534002	450008429	32	M
942534003	450008429	29	M
942534004	450008429	32	M
942534005	450008429	38	M
942534006	450008429	27	M
942534007	450008429	28	M
942534008	450008429	35	M
942534009	450008429	49	M
942534010	450008429	45	M
942534011	450008429	36	M
942534012	450008429	44	M
942534013	450008429	51	M
942534014	450008429	24	M
942534015	450008429	31	M
942534016	450008429	64	M
942534017	450008429	49	M
942534018	450008429	44	M
942534019	450008429	39	M
942534020	450008429	44	M
942534021	450008429	24	M
942534022	450008429	41	M
942534023	450008429	42	M
942534024	450008429	46	M
942534025	450008429	48	M
942534026	450008429	26	M
942534027	450008429	32	M
942534028	450008429	43	M
942534029	450008429	30	M
942534030	450008429	47	M
942534031	450008429	35	M
942534032	450008429	40	M
942534033	450008429	22	M
942534034	450008429	32	M
942534035	450008429	48	M
942534036	450008429	20	M
942534037	450008429	54	M
942534038	450008429	30	M
942534039	450008429	38	M
942534040	450008429	43	M
942534041	450008429	39	M
942534042	450008429	40	M
942534043	450008429	26	M
942534044	450008429	24	M
942534045	450008429	24	M
942534046	450008429	47	M
942534047	450008429	42	M
942534048	450008429	61	M
942534049	450008429	22	M
942534050	450008429	32	M
942534051	450008429	36	M
942534052	450008429	29	M
942534053	450008429	32	M
942534054	450008429	32	M
942534055	450008429	19	M
942534056	450008429	25	M
942534057	450008429	37	M
942534058	450008429	38	M
942534059	450008429	31	M
942534060	450008429	25	M
942534061	450008429	39	M
942534062	450008429	29	M
942534063	450008429	57	M
942534064	450008429	41	M
942534065	450008429	33	M
942534066	450008429	49	M
942534067	450008429	20	M
942534068	450008429	42	M
942534069	450008429	52	M
942534070	450008429	54	M
942534071	450008429	49	M
942534072	450008429	52	M
942534073	450008429	56	M
942534074	450008429	40	M
942534075	450008429	32	M
942534076	450008429	20	M
942534077	450008429	52	M
942534078	450008429	22	M
942534079	450008429	38	M
942534080	450008429	28	M
942534081	450008429	32	M
942534082	450008429	31	M
942534083	450008429	18	M
942534084	450008429	30	M
942534085	450008429	53	M
942534086	450008429	50	M
942534087	450008429	33	M
942534088	450008429	25	M
942534089	450008429	30	M
942534090	450008429	48	M
942534091	450008429	35	M
942534092	450008429	32	M
942534093	450008429	31	M
942534094	450008429	26	M
942534095	450008429	46	M
942534096	450008429	32	M
942534097	450008429	25	M
942534098	450008429	19	M
942534099	450008429	35	M
942534100	450008429	36	M
942534101	450008429	59	M
942534102	450008429	20	M
942534103	450008429	40	M
942534104	450008429	40	M
942534105	450008429	26	M
942534106	450008429	47	M
942534107	450008429	35	M
942534108	450008429	36	M
942534109	450008429	48	M
942534110	450008429	23	M
942534111	450008429	43	M
942534112	450008429	43	M
942534113	450008429	46	M
942534114	450008429	44	M
942534115	450008429	44	M
942534116	450008429	36	M
942534117	450008429	43	M
942534118	450008429	49	M
942534119	450008429	48	M
942534120	450008429	64	M
942534121	450008429	20	M
942534122	450008429	24	M
942534123	450008429	25	M
942534124	450008429	25	M
942534125	450008429	35	M
942534126	450008429	25	M
942534127	450008429	35	M
942534128	450008429	38	M
942534129	450008429	23	M
942534130	450008429	23	M
942534131	450008429	33	M
942534132	450008429	26	M
942534133	450008429	23	M
942534134	450008429	32	M
942534135	450008429	27	M
942534136	450008429	23	M
942534137	450008429	32	M
942534138	450008429	31	M
942534139	450008429	51	M
942534140	450008429	44	M
942534141	450008429	36	M
942534142	450008429	26	M
942534143	450008429	28	M
942534144	450008429	52	M
942534145	450008429	30	M
942534146	450008429	32	M
942533871	450008429	55	M
942534148	450008429	45	M
942534149	450008429	31	M
942534150	450008429	34	M
942534151	450008429	44	M
942534152	450008429	34	M
942534153	450008429	27	M
942534154	450008429	25	M
942534155	450008429	25	M
942534156	450008429	36	M
942534157	450008429	24	M
942534158	450008429	56	M
942534159	450008429	31	M
942534160	450008429	25	M
942534161	450008429	36	M
942534162	450008429	41	M
942534163	450008429	28	M
942534164	450008429	22	M
942534165	450008429	47	M
942534166	450008429	48	M
942534167	450008429	42	M
942534168	450008429	26	M
942534169	450008429	22	M
942534170	450008429	41	M
942534171	450008429	47	M
942534172	450008429	33	M
942534173	450008429	25	M
942534174	450008429	36	M
942534175	450008429	40	M
942534176	450008429	38	M
942534177	450008429	24	M
942534178	450008429	30	M
942534179	450008429	28	M
942534180	450008429	34	M
942534181	450008429	31	M
942534182	450008429	57	M
942534183	450008429	34	M
942534184	450008429	31	M
942534185	450008429	28	M
942534186	450008429	47	M
942534187	450008429	48	M
942534188	450008429	29	M
942534189	450008429	24	M
942534190	450008429	36	M
942534191	450008429	24	M
942534192	450008429	35	M
942534193	450008429	36	M
942534194	450008429	53	M
942534195	450008429	33	M
942534196	450008429	32	M
942534197	450008429	29	M
